Fechas,Montebello,Arareco,Chapala
2020-04-18 21:30,662082724.8,539178777.6,705057168
2020-04-18 21:45,662082724.8,539178777.6,705057168
2020-04-18 22:00,662082724.8,539178777.6,705057168
2020-04-18 22:15,662082724.8,539178777.6,705303864
2020-04-18 22:30,662082724.8,539178777.6,705797256
2020-04-18 22:45,662082724.8,539178777.6,705303864
2020-04-18 23:00,662082724.8,539277456,704687124
2020-04-18 23:15,662082724.8,539277456,704440428
2020-04-18 23:30,662082724.8,539277456,704193732
2020-04-18 23:45,662082724.8,539277456,704193732
2020-04-19 00:00,662082724.8,539277456,703947036
2020-04-19 00:15,662082724.8,539376134.4,703453644
2020-04-19 00:30,661638672,539376134.4,703453644
2020-04-19 00:45,661638672,539376134.4,703947036
2020-04-19 01:00,661638672,539376134.4,704440428
2020-04-19 01:15,661638672,539376134.4,704687124
2020-04-19 01:30,661638672,539376134.4,704810472
2020-04-19 01:45,661638672,539474812.8,705057168
2020-04-19 02:00,661638672,539376134.4,705303864
2020-04-19 02:15,661638672,539474812.8,705303864
2020-04-19 02:30,661638672,539474812.8,705057168
2020-04-19 02:45,661638672,539573491.2,704687124
2020-04-19 03:00,661638672,539474812.8,704440428
2020-04-19 03:15,661638672,539573491.2,704193732
2020-04-19 03:30,661638672,539573491.2,703700340
2020-04-19 03:45,661638672,539573491.2,703700340
2020-04-19 04:00,661638672,539573491.2,703453644
2020-04-19 04:15,661638672,539573491.2,702960252
2020-04-19 04:30,661638672,539573491.2,702713556
2020-04-19 04:45,661638672,539672169.6,702713556
2020-04-19 05:00,661638672,539672169.6,702960252
2020-04-19 05:15,661638672,539672169.6,703206948
2020-04-19 05:30,661638672,539672169.6,703206948
2020-04-19 05:45,661638672,539672169.6,702960252
2020-04-19 06:00,661638672,539672169.6,702960252
2020-04-19 06:15,661638672,539672169.6,702960252
2020-04-19 06:30,661638672,539770848,702713556
2020-04-19 06:45,661638672,539770848,702096816
2020-04-19 07:00,661638672,539770848,701603424
2020-04-19 07:15,661638672,539770848,701356728
2020-04-19 07:30,661638672,539770848,700863336
2020-04-19 07:45,661638672,539869526.4,700739988
2020-04-19 08:00,661638672,539770848,700493292
2020-04-19 08:15,661638672,539869526.4,699999900
2020-04-19 08:30,661638672,539869526.4,699999900
2020-04-19 08:45,661638672,539869526.4,699999900
2020-04-19 09:00,661638672,539968204.8,700246596
2020-04-19 09:15,661638672,539869526.4,700739988
2020-04-19 09:30,661638672,539968204.8,700739988
2020-04-19 09:45,661638672,539968204.8,700863336
2020-04-19 10:00,661638672,539968204.8,701110032
2020-04-19 10:15,661638672,539968204.8,701110032
2020-04-19 10:30,661194619.2,539968204.8,700863336
2020-04-19 10:45,661638672,540066883.2,700246596
2020-04-19 11:00,661194619.2,540066883.2,699753204
2020-04-19 11:15,661638672,540066883.2,699506508
2020-04-19 11:30,661194619.2,540066883.2,699259812
2020-04-19 11:45,661194619.2,540066883.2,699259812
2020-04-19 12:00,661638672,540066883.2,699259812
2020-04-19 12:15,661194619.2,540066883.2,699259812
2020-04-19 12:30,661194619.2,540165561.6,699753204
2020-04-19 12:45,661638672,540066883.2,699999900
2020-04-19 13:00,661194619.2,540165561.6,699999900
2020-04-19 13:15,661194619.2,540165561.6,699506508
2020-04-19 13:30,661194619.2,540165561.6,699259812
2020-04-19 13:45,661194619.2,540066883.2,699013116
2020-04-19 14:00,661194619.2,540165561.6,698889768
2020-04-19 14:15,661194619.2,540165561.6,698643072
2020-04-19 14:30,661194619.2,540264240,698643072
2020-04-19 14:45,661194619.2,540264240,698396376
2020-04-19 15:00,661194619.2,540264240,698396376
2020-04-19 15:15,661194619.2,540264240,698643072
2020-04-19 15:30,661194619.2,540264240,698643072
2020-04-19 15:45,661194619.2,540264240,698396376
2020-04-19 16:00,661194619.2,540264240,698396376
2020-04-19 16:15,661194619.2,540362918.4,698396376
2020-04-19 16:30,661194619.2,540362918.4,697902984
2020-04-19 16:45,661194619.2,540362918.4,697656288
2020-04-19 17:00,661194619.2,540362918.4,697162896
2020-04-19 17:15,661194619.2,540362918.4,696792852
2020-04-19 17:30,661194619.2,540362918.4,696299460
2020-04-19 17:45,661194619.2,540362918.4,696299460
2020-04-19 18:00,661194619.2,540461596.8,695806068
2020-04-19 18:15,661194619.2,540362918.4,696299460
2020-04-19 18:30,661194619.2,540461596.8,696299460
2020-04-19 18:45,661194619.2,540461596.8,696299460
2020-04-19 19:00,661194619.2,540461596.8,696546156
2020-04-19 19:15,661194619.2,540461596.8,696546156
2020-04-19 19:30,660750566.4,540560275.2,696546156
2020-04-19 19:45,661194619.2,540560275.2,696299460
2020-04-19 20:00,660750566.4,540560275.2,695559372
2020-04-19 20:15,660750566.4,540560275.2,695806068
2020-04-19 20:30,660750566.4,540560275.2,695559372
2020-04-19 20:45,660750566.4,540560275.2,695559372
2020-04-19 21:00,660750566.4,540658953.6,695559372
2020-04-19 21:15,660750566.4,540658953.6,695559372
2020-04-19 21:30,660750566.4,540658953.6,695559372
2020-04-19 21:45,660750566.4,540658953.6,695559372
2020-04-19 22:00,660750566.4,540658953.6,695559372
2020-04-19 22:15,660750566.4,540658953.6,695312676
2020-04-19 22:30,660750566.4,540658953.6,695065980
2020-04-19 22:45,660750566.4,540757632,695065980
2020-04-19 23:00,660750566.4,540757632,695312676
2020-04-19 23:15,660750566.4,540757632,695312676
2020-04-19 23:30,660750566.4,540757632,695312676
2020-04-19 23:45,660750566.4,540757632,695312676
2020-04-20 00:00,660750566.4,540757632,695312676
2020-04-20 00:15,660750566.4,540757632,695312676
2020-04-20 00:30,660750566.4,540856310.4,695065980
2020-04-20 00:45,660750566.4,540856310.4,694942632
2020-04-20 01:00,660750566.4,540856310.4,694449240
2020-04-20 01:15,660750566.4,540856310.4,694449240
2020-04-20 01:30,660750566.4,540856310.4,694449240
2020-04-20 01:45,660750566.4,540856310.4,694202544
2020-04-20 02:00,660750566.4,540856310.4,694202544
2020-04-20 02:15,660750566.4,540954988.8,694202544
2020-04-20 02:30,660750566.4,540954988.8,694202544
2020-04-20 02:45,660750566.4,540954988.8,694202544
2020-04-20 03:00,660750566.4,540954988.8,694202544
2020-04-20 03:15,660750566.4,540954988.8,693709152
2020-04-20 03:30,660750566.4,540954988.8,693092412
2020-04-20 03:45,660750566.4,540954988.8,692599020
2020-04-20 04:00,660750566.4,541053667.2,692352324
2020-04-20 04:15,660750566.4,541053667.2,692352324
2020-04-20 04:30,660306513.6,541053667.2,692105628
2020-04-20 04:45,660750566.4,541053667.2,692105628
2020-04-20 05:00,660750566.4,541053667.2,692599020
2020-04-20 05:15,660306513.6,541053667.2,692599020
2020-04-20 05:30,660306513.6,541053667.2,692599020
2020-04-20 05:45,660306513.6,541053667.2,692599020
2020-04-20 06:00,660306513.6,541053667.2,692105628
2020-04-20 06:15,660306513.6,541053667.2,692105628
2020-04-20 06:30,660306513.6,541152345.6,692105628
2020-04-20 06:45,660306513.6,541152345.6,691612236
2020-04-20 07:00,660306513.6,541152345.6,691365540
2020-04-20 07:15,660306513.6,541152345.6,691365540
2020-04-20 07:30,660306513.6,541251024,690995496
2020-04-20 07:45,660306513.6,541251024,690995496
2020-04-20 08:00,660306513.6,541251024,690748800
2020-04-20 08:15,660306513.6,541251024,690748800
2020-04-20 08:30,660306513.6,541251024,691118844
2020-04-20 08:45,660306513.6,541251024,691118844
2020-04-20 09:00,660306513.6,541251024,691365540
2020-04-20 09:15,660306513.6,541251024,691612236
2020-04-20 09:30,660306513.6,541349702.4,691612236
2020-04-20 09:45,660306513.6,541349702.4,691612236
2020-04-20 10:00,660306513.6,541349702.4,691365540
2020-04-20 10:15,660306513.6,541349702.4,691118844
2020-04-20 10:30,659862460.8,541349702.4,690995496
2020-04-20 10:45,660306513.6,541349702.4,690748800
2020-04-20 11:00,659862460.8,541349702.4,690502104
2020-04-20 11:15,660306513.6,541349702.4,690748800
2020-04-20 11:30,659862460.8,541448380.8,690748800
2020-04-20 11:45,659862460.8,541448380.8,690995496
2020-04-20 12:00,659862460.8,541448380.8,690995496
2020-04-20 12:15,659862460.8,541448380.8,690502104
2020-04-20 12:30,659862460.8,541448380.8,690502104
2020-04-20 12:45,659862460.8,541448380.8,690255408
2020-04-20 13:00,659862460.8,541547059.2,690008712
2020-04-20 13:15,659862460.8,541448380.8,690008712
2020-04-20 13:30,659862460.8,541547059.2,690008712
2020-04-20 13:45,659862460.8,541448380.8,690008712
2020-04-20 14:00,659862460.8,541547059.2,690255408
2020-04-20 14:15,659862460.8,541547059.2,690255408
2020-04-20 14:30,659862460.8,541547059.2,690008712
2020-04-20 14:45,659862460.8,541547059.2,689762016
2020-04-20 15:00,659862460.8,541645737.6,689515320
2020-04-20 15:15,659862460.8,541645737.6,689268624
2020-04-20 15:30,659862460.8,541448380.8,689145276
2020-04-20 15:45,659862460.8,541645737.6,688651884
2020-04-20 16:00,659862460.8,541645737.6,688405188
2020-04-20 16:15,659862460.8,541547059.2,687911796
2020-04-20 16:30,659862460.8,541744416,687911796
2020-04-20 16:45,659862460.8,541645737.6,687911796
2020-04-20 17:00,659418408,541645737.6,688158492
2020-04-20 17:15,659862460.8,541645737.6,687911796
2020-04-20 17:30,659418408,541645737.6,687911796
2020-04-20 17:45,659862460.8,541645737.6,687911796
2020-04-20 18:00,659862460.8,541744416,687911796
2020-04-20 18:15,659862460.8,541744416,687911796
2020-04-20 18:30,659862460.8,541744416,688158492
2020-04-20 18:45,659418408,541744416,687911796
2020-04-20 19:00,659418408,541744416,687665100
2020-04-20 19:15,659418408,541744416,687665100
2020-04-20 19:30,659418408,541744416,687418404
2020-04-20 19:45,659418408,541744416,687418404
2020-04-20 20:00,659418408,541744416,687295056
2020-04-20 20:15,659418408,541744416,687048360
2020-04-20 20:30,659418408,541843094.4,687048360
2020-04-20 20:45,659418408,541843094.4,687048360
2020-04-20 21:00,659418408,541843094.4,687048360
2020-04-20 21:15,659418408,541843094.4,686801664
2020-04-20 21:30,659418408,541843094.4,686801664
2020-04-20 21:45,659418408,541843094.4,686801664
2020-04-20 22:00,659418408,541941772.8,686801664
2020-04-20 22:15,659418408,541941772.8,686554968
2020-04-20 22:30,659418408,541941772.8,686308272
2020-04-20 22:45,659418408,541941772.8,686308272
2020-04-20 23:00,659418408,541941772.8,686061576
2020-04-20 23:15,659418408,541941772.8,686308272
2020-04-20 23:30,659418408,541941772.8,687418404
2020-04-20 23:45,659418408,541941772.8,687418404
2020-04-21 00:00,659418408,542040451.2,687911796
2020-04-21 00:15,659418408,542040451.2,687295056
2020-04-21 00:30,659418408,542040451.2,687295056
2020-04-21 00:45,659418408,542040451.2,686554968
2020-04-21 01:00,659418408,542040451.2,686554968
2020-04-21 01:15,659418408,542040451.2,686061576
2020-04-21 01:30,659418408,542040451.2,686061576
2020-04-21 01:45,659418408,542139129.6,686554968
2020-04-21 02:00,659418408,542040451.2,686801664
2020-04-21 02:15,659418408,542139129.6,686801664
2020-04-21 02:30,659418408,542040451.2,687048360
2020-04-21 02:45,658974355.2,542139129.6,687418404
